VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
PX4_2	1773041173316	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041175434411700.png
PX4_3	1773041173373	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041175490725700.png
PX4_4	1773041173466	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041175582740900.png
PX4_1	1773041173538	23.5388	7.62667	-9.55259	0.998045	-0.0397021	-0.0254186	0.0410342	img_PX4_1__0_1773041175660046000.png
PX4_2	1773041173619	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041175743936400.png
PX4_3	1773041173703	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041175826752000.png
PX4_4	1773041173775	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041175900642400.png
PX4_1	1773041173844	23.2502	7.61196	-9.5426	0.997632	-0.0370029	-0.042589	0.0393423	img_PX4_1__0_1773041175970997900.png
PX4_2	1773041173928	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041176056758600.png
PX4_3	1773041173979	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041176107437600.png
PX4_4	1773041174075	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041176206967100.png
PX4_1	1773041174156	23.0386	7.53085	-9.52872	0.997396	-0.0295056	-0.0539128	0.0377489	img_PX4_1__0_1773041176288552200.png
PX4_2	1773041174243	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041176376716000.png
PX4_3	1773041174327	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041176463177400.png
PX4_4	1773041174411	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041176549183200.png
PX4_1	1773041174489	22.928	7.38723	-9.51162	0.997483	-0.0176663	-0.0577502	0.0371647	img_PX4_1__0_1773041176628562800.png
PX4_2	1773041174579	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041176720613100.png
PX4_3	1773041174669	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041176809952600.png
PX4_4	1773041174753	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041176898049200.png
PX4_1	1773041174831	22.9455	7.20506	-9.49374	0.997887	-0.0030439	-0.0523653	0.0383378	img_PX4_1__0_1773041176978025900.png
PX4_2	1773041174915	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041177062827600.png
PX4_3	1773041175014	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041177161010600.png
PX4_4	1773041175104	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041177253502300.png
PX4_1	1773041175182	23.0879	7.01591	-9.47768	0.998301	0.0120589	-0.0393454	0.0412425	img_PX4_1__0_1773041177333547900.png
PX4_2	1773041175260	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041177414323700.png
PX4_3	1773041175344	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041177497606500.png
PX4_4	1773041175422	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041177575933000.png
PX4_1	1773041175482	23.2855	6.87887	-9.46781	0.998453	0.0229534	-0.02445	0.0443424	img_PX4_1__0_1773041177636643700.png
PX4_2	1773041175557	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041177714812100.png
PX4_3	1773041175635	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041177794146100.png
PX4_4	1773041175695	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041177853864500.png
PX4_1	1773041175737	23.4872	6.79499	-9.46336	0.998419	0.0294179	-0.010024	0.0468451	img_PX4_1__0_1773041177898407900.png
PX4_2	1773041175824	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041177984633300.png
PX4_3	1773041175902	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041178064554800.png
PX4_4	1773041175983	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041178149285500.png
PX4_1	1773041176064	23.7592	6.74357	-9.46335	0.998199	0.032917	0.00904274	0.049329	img_PX4_1__0_1773041178230394800.png
PX4_2	1773041176148	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041178315250000.png
PX4_3	1773041176229	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041178398103100.png
PX4_4	1773041176316	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041178489158100.png
PX4_1	1773041176391	24.0071	6.75935	-9.46894	0.997894	0.0314335	0.0251229	0.0508855	img_PX4_1__0_1773041178561229400.png
PX4_2	1773041176469	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041178642049600.png
PX4_3	1773041176553	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041178727769500.png
PX4_4	1773041176640	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041178813690800.png
PX4_1	1773041176721	24.2034	6.83884	-9.47876	0.997643	0.0255192	0.0369179	0.0519026	img_PX4_1__0_1773041178896667600.png
PX4_2	1773041176805	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041178981704600.png
PX4_3	1773041176886	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041179064459800.png
PX4_4	1773041176976	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041179158154000.png
PX4_1	1773041177051	24.3194	6.96992	-9.49097	0.99757	0.0162115	0.042524	0.0527635	img_PX4_1__0_1773041179234482700.png
PX4_2	1773041177135	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041179320624600.png
PX4_3	1773041177204	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041179391500300.png
PX4_4	1773041177285	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041179472875700.png
PX4_1	1773041177360	24.3438	7.11908	-9.50255	0.997671	0.00535859	0.0418127	0.0536279	img_PX4_1__0_1773041179549786800.png
PX4_2	1773041177444	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041179635093500.png
PX4_3	1773041177522	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041179715421000.png
PX4_4	1773041177612	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041179804489400.png
PX4_1	1773041177693	24.283	7.28594	-9.51327	0.997883	-0.00598085	0.0350826	0.0544248	img_PX4_1__0_1773041179885180000.png
PX4_2	1773041177786	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041179980303300.png
PX4_3	1773041177867	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041180061511400.png
PX4_4	1773041177960	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041180156885400.png
PX4_1	1773041178041	24.1415	7.44091	-9.52096	0.9981	-0.015792	0.0234337	0.0547548	img_PX4_1__0_1773041180241660300.png
PX4_2	1773041178128	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041180333517200.png
PX4_3	1773041178224	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041180427248600.png
PX4_4	1773041178314	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041180518685500.png
PX4_1	1773041178395	23.9407	7.5599	-9.52452	0.998231	-0.0228393	0.00890078	0.0541611	img_PX4_1__0_1773041180601290800.png
PX4_2	1773041178473	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041180682307700.png
PX4_3	1773041178536	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041180744524100.png
PX4_4	1773041178590	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041180799076100.png
PX4_1	1773041178662	23.7759	7.61208	-9.52425	0.998272	-0.0250221	-0.00232204	0.0531173	img_PX4_1__0_1773041180871819000.png
PX4_2	1773041178746	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041180955862100.png
PX4_3	1773041178821	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041181032335400.png
PX4_4	1773041178899	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041181113843200.png
PX4_1	1773041178953	23.6024	7.62975	-9.5213	0.99827	-0.0246404	-0.0134807	0.0516485	img_PX4_1__0_1773041181166649200.png
PX4_2	1773041179040	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041181256719000.png
PX4_3	1773041179121	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041181337048800.png
PX4_4	1773041179199	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041181416860600.png
PX4_1	1773041179259	23.4463	7.60613	-9.51561	0.998263	-0.0209606	-0.0226975	0.0501744	img_PX4_1__0_1773041181476991200.png
PX4_2	1773041179343	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041181564229900.png
PX4_3	1773041179436	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041181657994600.png
PX4_4	1773041179517	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041181739116100.png
PX4_1	1773041179595	23.3247	7.53901	-9.50688	0.998263	-0.0147217	-0.0289939	0.0491341	img_PX4_1__0_1773041181819057300.png
PX4_2	1773041179688	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041181911085000.png
PX4_3	1773041179784	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041182006198500.png
PX4_4	1773041179862	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041182088325400.png
PX4_1	1773041179949	23.2669	7.43792	-9.49635	0.99831	-0.00656112	-0.0304377	0.0490616	img_PX4_1__0_1773041182176190800.png
PX4_2	1773041180039	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041182268948600.png
PX4_3	1773041180126	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041182357293600.png
PX4_4	1773041180183	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041182414054200.png
PX4_1	1773041180225	23.2737	7.34785	-9.48846	0.998363	0.000510672	-0.0281447	0.0497935	img_PX4_1__0_1773041182459551800.png
PX4_2	1773041180303	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041182540555600.png
PX4_3	1773041180387	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041182625294400.png
PX4_4	1773041180477	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041182718681900.png
PX4_1	1773041180546	23.3339	7.24838	-9.48102	0.998409	0.00809806	-0.0219822	0.0512941	img_PX4_1__0_1773041182789863100.png
PX4_2	1773041180639	0	0	0.573961	3.57628e-07	0	0	-1	img_PX4_2__0_1773041182884216400.png
PX4_3	1773041180720	0	0	0.573961	0.707107	0	0	-0.707107	img_PX4_3__0_1773041182965407300.png
PX4_4	1773041180813	0	0	0.573961	0.707107	0	0	0.707107	img_PX4_4__0_1773041183060309100.png
